Section,Title,URL,Users
noticias,¿Cuánto costará el gas LP a partir del 1 de agosto?,https://www.am.com.mx/noticias/Cuanto-costara-el-gas-LP-a-partir-del-1-de-agosto-de-2021-en-mi-estado-20210731-0036.html,64397
espectaculos,"VIDEO. Abraham Quintanilla abre ataúd de Selena, pero se arrepintió enseguida",https://www.am.com.mx/espectaculos/Selena-abrir-su-ataud-fue-el-peor-error-de-Abraham-Quintanilla.-VIDEO-20210331-0025.html,62123
estados,Ricardo Salinas Pliego: asegura que noticia de mujer que embargó Elektra fue hace 3 años,https://www.am.com.mx/estados/Ricardo-Salinas-Pliego-asegura-que-noticia-de-mujer-que-embargo-Elektra-fue-hace-3-anos-20211009-0069.html,56764
espectaculos,¡Estás despedida! Productora de ‘Hoy’ a conductora por aparecer en TV Azteca,https://www.am.com.mx/espectaculos/Televisa-Productora-de-Hoy-despide-a-conductora-por-asistir-a-Mimi-contigo-20210317-0010.html,55789
home,"Noticias de Guanajuato, León, México y el mundo | Periódico AM",https://www.am.com.mx/,55465
noticias,"‘La Chaparra’ sabía que la iban a matar, pero escondió a su bebé entre sábanas",https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Atacan-a-familia-a-balazos-y-muere-Erika-y-un-hombre-en-la-Azteca-20210819-0009.html,52866
noticias,"VIDEO. Feminicidas de Alejandra Flores fueron captados cuando sacaban el cuerpo | Periódico AM | Noticias de Hidalgo, México",https://www.am.com.mx/hidalgo/noticias/VIDEO.-Feminicidas-de-Alejandra-Flores-fueron-captados-cuando-sacaban-el-cuerpo--20210729-0020.html,52379
espectaculos,Feria de León 2021: Ellos son los artistas que actuarán en la Velaria,https://www.am.com.mx/espectaculos/Feria-de-Leon-2021-Destapan-cartel-completo-de-la-Feria-de-Verano-20210604-0052.html,47831
leon,Leonés amanece millonario: le pegar ‘al Gordo’ de la Lotería Nacional,https://www.am.com.mx/leon/Loteria-Nacional-Leon-Guanajuato-Leones-le-pega-al-Gordo-y-gana-7-millones-de-pesos-20210922-0056.html,46451
noticias,"Mujer secuestrada escapa, tiene quemaduras y gritaba auxilio en la capital",https://www.am.com.mx/guanajuato/noticias/Guanajuato-capital-Escapa-secuestrada-tiene-quemaduras-y-gritaba-auxilio-en-la-calle-20210729-0025.html,43121
noticias,Policías en Ecatepec grabados teniendo relaciones en una patrulla en Estado de México | Periódico AM,https://www.am.com.mx/noticias/Policias-en-Ecatepec-grabados-teniendo-relaciones-en-una-patrulla-en-Estado-de-Mexico-20210724-0016.html,43040
noticias,"Ángeles vio el ataque a su hijo Hugo, lo quiso reanimar, pero murió en sus brazos",https://www.am.com.mx/guanajuato/noticias/Muertos-en-Santa-Ana-del-Conde-Angeles-narra-como-mataron-a-su-hijo-Hugo-Sanchez-en-el-partido-de-futbol-20210811-0044.html,42471
jalisco,"Hallan a Alexandra Paola de 8 años con vida, la tenían escondida en una maleta",https://www.am.com.mx/jalisco/Desaparecidos-Alexandra-Paola-nina-escondida-en-una-maleta.-Hallan-a-Alexandra-Paola-con-vida-estaba-escondida-en-una-maleta-20210912-0019.html,42147
noticias,¿Tienes entre 18 y 29 años? Llega vacuna COVID a Guanajuato y estas son las sedes,https://www.am.com.mx/guanajuato/noticias/Vacuna-COVID-Guanajuato-Campana-vacunacion-18-y-29-anos--20210809-0042.html,40198
leon,Matan a balazos a 2 jóvenes en cochera de su casa en Joyas de Castilla,https://www.am.com.mx/leon/Balazos-Leon-Matan-a-2-jovenes-en-Joyas-de-Castilla-en-cochera-de-su-casa-20210922-0003.html,39223
noticias,Asesinan a dos mujeres en estacionamiento de Wal-Mart; bebé y niño quedan heridos,https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Matan-a-balazos-a-2-mujeres-en-Wal-Mart-hieren-a-bebe-y-a-nino-20210712-0034.html,38979
noticias,"¡No me dejes sola! Madre ver morir a su hijo de 3 años entre sus brazos | Periódico AM | Noticias de Hidalgo, México",https://www.am.com.mx/hidalgo/noticias/No-me-dejes-sola-Madre-ver-morir-a-su-hijo-de-3-anos-entre-sus-brazos-20210611-0022.html,38411
noticias,Estas son las escuelas que volverán a clases presenciales este martes,https://www.am.com.mx/guanajuato/noticias/Regreso-a-clases-presencial-en-Guanajuato-Lista-de-escuelas-que-volveran-el-martes-20210508-0026.html,37030
leon,Partido de fútbol termina en tragedia: Muere tras recibir balonazo en colonia 10 de Mayo,https://www.am.com.mx/leon/Seguridad-Leon-Muere-joven-en-colonia-10-de-Mayo-por-balonazo-en-partido-de-futbol-20211003-0060.html,35894
noticias,"Alertan en redes sociales por presencia del ‘aguijón pica jopo’, no caigas en engaños | Periódico AM | Noticias de Hidalgo, México",https://www.am.com.mx/hidalgo/noticias/Alertan-en-redes-sociales-por-presencia-del-aguijon-pica-jopo-no-caigas-en-enganos-20210628-0016.html,35731
noticias,¿Podría ir a la cárcel quien grabó a policías de Ecatepec teniendo relaciones?,https://www.am.com.mx/noticias/Policias-de-Ecatepec-grabados-teniendo-relaciones-en-patrulla-y-quien-grabo-podria-castigarse-con-Ley-Olimpia-20210727-0056.html,35000
noticias,Se acuesta una joven en el suelo y muere por COVID mientras esperaba una camilla,https://www.am.com.mx/noticias/Argentina-COVID-Contagios.-Muere-una-joven-de-22-anos-mientras-esperaba-una-cama-en-Hospital-20210525-0029.html,34026
estados,"VIDEO En Baja California, hombre caminaba con su hijo y muere tras recibir disparos; autor del asesinato no fue detenido",https://www.am.com.mx/estados/Asesinato-Baja-California-VIDEO-Hombre-caminaba-con-su-hijo-y-muere-tras-recibir-disparos--20210909-0113.html,33945
espectaculos,Reaccionan a ‘truene’ de Nodal y Belinda con memes. Aquí los mejores,https://www.am.com.mx/espectaculos/Truene-de-Nodal-y-Belinda-causa-alboroto-en-redes-y-los-mejores-memes-aqui-puedes-verlos-20210821-0062.html,33701
coronavirus,VIDEO Mueren en casa 4 personas de COVID por saturación de hospitales en CDMX,https://www.am.com.mx/coronavirus/VIDEO-Mueren-en-casa-4-personas-de-COVID-por-saturacion-de-hospitales-en-CDMX-20210116-0014.html,33539
noticias,Mata a conductor a cuchilladas frente a su hijo tras percance vial en Jalisco,https://www.am.com.mx/noticias/Seguridad-en-Jalisco-tras-percance-vial-mata-a-conductor-a-cuchilladas-frente-a-su-hijo-20210818-0049.html,33376
noticias,"‘La Mami’ prostituía chicas para todos los gustos, clientes llegaban en autos de lujo",https://www.am.com.mx/guanajuato/noticias/Prostitucion-y-trata-de-personas-en-Leon-La-Mami-tenia-chicas-para-todos-los-gustos-20210826-0029.html,33133
celaya,Domingo Negro en Celaya: cuando se detuvo el tiempo,https://www.am.com.mx/celaya/Domingo-Negro-en-Celaya-cuando-se-detuvo-el-tiempo-20210926-0002.html,33051
noticias,Edecanes en León ganan desde 500 pesos hasta 3 mil pesos al día,https://www.am.com.mx/guanajuato/noticias/Edecanes-en-Leon-ganan-desde-500-pesos-hasta-3-mil-pesos-al-dia-20210825-0032.html,32970
guanajuato,Estos son los 13 municipios de Guanajuato donde se aplicará la vacuna COVID el lunes,https://www.am.com.mx/guanajuato/Vacunas-COVID-Guanajuato-Iniciara-vacunacion-en-13-municipios-lunes-20-de-septiembre-20210918-0085.html,32564
noticias,Vacunación COVID para jóvenes de 18 a 29 años inicia martes en Salamanca y Yuriria,https://www.am.com.mx/guanajuato/noticias/Vacunas-COVID-Aplicacion-para-jovenes-de-18-a-29-anos-inicia-martes-24-de-agosto-en-Salamanca-y-Yuriria-20210822-0028.html,32402
noticias,"Feria de Verano León 2021: Profeco recibe queja costo de acceso con juegos | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Feria-de-Verano-Leon-2021-Profeco-recibe-queja-costo-de-acceso-con-juegos-20210708-0034.html,32077
noticias,Puntos de vacunación para segundas dosis en 21 municipios de Guanajuato,https://www.am.com.mx/guanajuato/noticias/Vacuna-COVID-Guanajuato-Puntos-de-vacunacion-para-segundas-dosis-de-40-49-y-50-59-en-21-ciudades-20210819-0038.html,31833
noticias,VIDEO: Masacran a 8 al interior de una casa en Irapuato; sicarios amenazaron a testigos,https://www.am.com.mx/guanajuato/noticias/Seguridad-Irapuato-Masacran-a-8-al-interior-de-una-casa-sicarios-amenazaron-a-testigos-20210807-0031.html,31671
noticias,Mueren 7 motociclistas tras accidente durante 'rodada' en carretera México-Cuernavaca (VIDEO),https://www.am.com.mx/noticias/Accidente-en-Mexico-Cuernavaca-VIDEO-Mueren-7-motociclistas-en-carretera--20210815-0037.html,31346
noticias,VIDEO Captan ‘presunto fantasma’ en lugar donde murieron 7 motociclistas en la México-Cuernavaca,https://www.am.com.mx/noticias/VIDEO-Accidente-Mexico-Cuernavaca-muertos.-Captan-presunto-fantasma-en-escena-del-accidente-20210817-0033.html,31102
noticias,"Encuentra larvas de mosca en su comida; restaurante asegura que son especias | Periódico AM | Noticias de Hidalgo, México",https://www.am.com.mx/hidalgo/noticias/Encuentra-larvas-de-mosca-en-su-comida-restaurante-asegura-que-son-especias-20210707-0026.html,31102
leon,Atacan a mujer comandante de la policía de León a balazos | Periódico AM,https://www.am.com.mx/leon/Atacan-a-mujer-policia-al-de-su-casa-a-trabajar-en-Leon-20210908-0012.html,31102
noticias,"Ya atrapados en el taller, el herrero e hijos recibieron órdenes de cómo iban a morir | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Ya-atrapados-en-el-taller-el-herrero-e-hijos-recibieron-ordenes-de-como-iban-a-morir-20210831-0020.html,31021
noticias,OMS confirma muerte de paciente contagiado de virus Marburgo; qué es y cuáles son los síntomas,https://www.am.com.mx/noticias/Marburgo-que-es-cuales-son-los-sintoma-del-virus--20210812-0028.html,30859
noticias,Edgar muere arrollado en bulevar Aeropuerto y su esposa Karla sigue delicada,https://www.am.com.mx/guanajuato/noticias/Accidente-en-bulevar-Aeropuerto-Edgar-muere-arrollado-y-su-esposa-Karla-sigue-delicada-20210520-0023.html,30859
leon,Balacera en León: Matan sicarios a policía municipal en colonia San Isidro | Periódico AM,https://www.am.com.mx/leon/Balacera-en-Leon-Matan-sicarios-a-policia-municipal-en-colonia-San-Isidro-20211005-0091.html,30859
noticias,"Vacuna COVID AstraZeneca es más efectiva en mexicanos, según estudios",https://www.am.com.mx/noticias/Vacuna-COVID-AstraZeneca-es-mas-efectiva-en-mexicanos-segun-estudios--20210813-0035.html,30859
valor-agregado,¿Buscas trabajo? HEB abrirá su tercera tienda en León y ofrece 220 empleos,https://www.am.com.mx/guanajuato/valor-agregado/Abre-HEB-tercera-tienda-en-Leon-y-ofrece-220-empleos-directos-20210803-0023.html,30534
noticias,Entran hombres armados a negocio y asesinan a 3 panaderos,https://www.am.com.mx/guanajuato/noticias/Seguridad-Pueblo-Nuevo-Matan-a-panaderos-en-negocio-de-la-colonia-2-de-febrero-20210730-0008.html,30371
noticias,"León: Susy Villegas vive años de maltrato, su esposo Jaime Rodríguez la asesina en Italia | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Leon-Susy-Villegas-vive-anos-de-maltrato-su-esposo-Jaime-Rodriguez-la-asesina-en-Italia-20210624-0040.html,30371
noticias,"En el ataque a su papá, Luisito se escondió debajo de la camioneta y ahí lo mataron",https://www.am.com.mx/guanajuato/noticias/Matan-a-padre-e-hijo-en-Irapuato-Luisito-se-escondio-debajo-de-la-camioneta-y-ahi-lo-mataron-20210617-0022.html,30371
noticias,Adultos de 30 a 39 años recibirán vacuna COVID en estos municipios desde el martes,https://www.am.com.mx/guanajuato/noticias/Vacunas-COVID-Puntos-de-vacunacion-30-a-39-anos-en-19-municipios-20210802-0031.html,30209
noticias,"Captan momento en que mamá apuñala a sus hijos en Irapuato | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Captan-momento-en-que-mama-apunala-a-sus-dos-hijos-en-Irapuato-20210901-0017.html,30209
noticias,Detienen a joven de 15 años como presunto asesino de mujeres en Walmart,https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Detienen-a-menor-de-15-anos-como-presunto-homicida-de-mujeres-en-Walmart-20210712-0037.html,29965
noticias,Estas son las colonias que más casos activos de COVID registran en León,https://www.am.com.mx/guanajuato/noticias/COVID-Leon-Colonias-con-mas-casos-activos-y-muertes-en-la-ciudad-20210823-0037.html,29884
leon,#ERROR!,https://www.am.com.mx/leon/Velorio-de-David-Llegan-el-cuerpo-de-David-a-su-casa-para-velarlo--20210929-0032.html,29803
noticias,"Empleada de Coppel regala zapatos nuevos a abuelito que buscaba un par de usados | Periódico AM | Noticias de Hidalgo, México",https://www.am.com.mx/hidalgo/noticias/Empleada-de-Coppel-regala-zapatos-nuevos-a-abuelito-que-buscaba-un-par-de-usados-20210712-0018.html,29803
noticias,Feminicidio Ciudad Juárez: muere mujer policía que asesinó a su pareja del mismo sexo e hijo de 11 años | Periódico AM,https://www.am.com.mx/noticias/Feminicidio-Ciudad-Juarez-muere-mujer-policia-que-asesino-a-su-pareja-del-mismo-sexo-e-hijo-de-11-anos-20210804-0064.html,29803
noticias,"Alex venía a casarse con Nadia a Guanajuato, lo detienen en aeropuerto y lo deportan",https://www.am.com.mx/noticias/Guanajuato-CDMX-Chile-Venia-Alex-a-casarse-con-una-guanajuatense-lo-detienen-en-aeropuerto-y-lo-deportan-20210422-0009.html,29641
noticias,Estados Unidos: Niño de 6 años muere tras ataque armado contra su madre | Periódico AM,https://www.am.com.mx/noticias/Estados-Unidos-Nino-de-6-anos-muere-tras-ataque-armado-contra-su-madre--20210522-0064.html,29641
guanajuato,Revive Lago de Cuitzeo tras 2 años de sequía; ahora lucen otra vez sus gigantes espejos,https://www.am.com.mx/guanajuato/Lago-de-Cuitzeo-Luego-de-dos-anos-de-sequia-regresa-el-agua-tras-las-intensas-lluvias-20211006-0090.html,29641
noticias,"Se contagian de COVID 2,196 niños menores de 10 años en Guanajuato",https://www.am.com.mx/guanajuato/noticias/COVID-Guanajuato-Se-contagian-mas-de-2-mil-ninos-menores-de-10-anos-20210708-0051.html,29397
guanajuato,San Francisco del Rincón: Matan a mujer a balazos en la cochera de su casa,https://www.am.com.mx/guanajuato/San-Francisco-del-Rincon-Matan-a-mujer-a-balazos-en-la-cochera-de-su-casa-en-la-Estacion-20211006-0067.html,29397
home,Periódico AM | Las mejores noticias de México y el mundo,https://www.am.com.mx/,29235
noticias,VIDEO Matan a pareja y niño que iban en moto y quedan los cuerpos abrazados,https://www.am.com.mx/guanajuato/noticias/Celaya-Matan-a-pareja-y-a-nino-que-iban-en-moto-y-en-Barrio-de-San-Miguel-y-quedan-sus-cuerpos-abrazados-20210726-0018.html,29153
viral,"Madre oculta que tiene COVID, contagia a su familia y todos fallecen",https://www.am.com.mx/viral/Madre-oculta-que-tiene-COVID-contagia-a-su-familia-y-todos-fallecen--20210202-0028.html,29072
noticias,"Seguridad León: Desaparece Brandon Velázquez, toma taxi en la Madero y no llega a casa | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Desaparece-Brandon-Velazquez-toma-taxi-en-la-Madero-y-no-llega-a-casa-20210508-0009.html,28666
noticias,"VIDEO hombres matan a tres en pleno partido de futbol en Santa Ana del Conde | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/VIDEO-hombres-matan-a-tres-en-pleno-partido-de-futbol-en-Santa-Ana-del-Conde-20210809-0047.html,28585
noticias,Asesinan a balazos a Alma frente a sus familiares en su propia casa,https://www.am.com.mx/guanajuato/noticias/Seguridad-Leon-Matan-a-balazos-a-mujer-y-hieren-a-joven-en-Paseo-de-las-Torres-frente-a-familia-20210705-0043.html,28585
noticias,Mujer y hombre ya no tuvieron escapatoria y fueron asesinados a balazos,https://www.am.com.mx/guanajuato/noticias/Irapuato-Entran-a-casa-por-la-fuerza-y-matan-a-balazos-a-dos-hombres-en-Urbi-Villa-del-Rey-20210830-0024.html,28504
noticias,Arrojan cabeza humana dentro de caja de casilla en Tijuana,https://www.am.com.mx/noticias/Elecciones-Tijuana-2021-Arrojan-cabeza-humana-en-casilla-en-fraccionamiento-Terrazas-del-Valle-20210606-0046.html,28423
noticias,Amontonan cadáveres a orilla de carretera e impresiona a conductores,https://www.am.com.mx/guanajuato/noticias/Seguridad-Yuriria-dejan-tres-cadaveres-a-orilla-de-carretera-e-impresiona-a-conductores-20210729-0015.html,28098
noticias,"Accidente en Jalostotitlán: Captan momento en que tráiler destroza autos donde murió familia guanajuatense | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Accidente-en-Jalostotitlan-Captan-momento-en-que-trailer-destroza-autos-donde-murio-familia-guanajuatense-20210630-0010.html,28016
noticias,Niño vio a su papá llegar del trabajo y al correr para abrazarlo murió atropellado,https://www.am.com.mx/guanajuato/noticias/Atropellan-y-matan-a-nino-de-4-anos-en-bulevar-Timoteo-Lozano-al-correr-para-abrazar-a-su-papa-20210823-0012.html,27935
noticias,"En Estados Unidos, 51 niños se contagian de COVID y 440 están en cuarentena tras regreso a clases presenciales",https://www.am.com.mx/noticias/COVID-Estados-Unidos-en-regreso-a-clases-presenciales-51-ninos-se-contagian-y-440-estan-en-cuarentena--20210813-0041.html,27854
